x,y
eu rejects german call to boycott british lamb . ,"['NNP', 'VBZ', 'JJ', 'NN', 'TO', 'VB', 'JJ', 'NN', '.']"
peter blackburn ,"['NNP', 'NNP']"
brussels 1996-08-22 ,"['NNP', 'CD']"
the european commission said on thursday it disagreed with german advice to consumers to shun british lamb until scientists determine whether mad cow disease can be transmitted to sheep . ,"['DT', 'NNP', 'NNP', 'VBD', 'IN', 'NNP', 'PRP', 'VBD', 'IN', 'JJ', 'NN', 'TO', 'NNS', 'TO', 'VB', 'JJ', 'NN', 'IN', 'NNS', 'VBP', 'IN', 'JJ', 'NN', 'NN', 'MD', 'VB', 'VBN', 'TO', 'NN', '.']"
germany 's representative to the european union 's veterinary committee werner zwingmann said on wednesday consumers should buy sheepmeat from countries other than britain until the scientific advice was clearer . ,"['NNP', 'POS', 'NN', 'TO', 'DT', 'NNP', 'NNP', 'POS', 'JJ', 'NN', 'NNP', 'NNP', 'VBD', 'IN', 'NNP', 'NNS', 'MD', 'VB', 'NN', 'IN', 'NNS', 'JJ', 'IN', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'VBD', 'JJR', '.']"
""" we do n't support any such recommendation because we do n't see any grounds for it , "" the commission 's chief spokesman nikolaus van der pas told a news briefing . ","['""', 'PRP', 'VBP', 'RB', 'VB', 'DT', 'JJ', 'NN', 'IN', 'PRP', 'VBP', 'RB', 'VB', 'DT', 'NNS', 'IN', 'PRP', ',', '""', 'DT', 'NNP', 'POS', 'JJ', 'NN', 'NNP', 'NNP', 'FW', 'NNP', 'VBD', 'DT', 'NN', 'NN', '.']"
he said further scientific study was required and if it was found that action was needed it should be taken by the european union . ,"['PRP', 'VBD', 'JJ', 'JJ', 'NN', 'VBD', 'VBN', 'CC', 'IN', 'PRP', 'VBD', 'VBN', 'IN', 'NN', 'VBD', 'VBN', 'PRP', 'MD', 'VB', 'VBN', 'IN', 'DT', 'NNP', 'NNP', '.']"
"he said a proposal last month by eu farm commissioner franz fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health . ","['PRP', 'VBD', 'DT', 'NN', 'JJ', 'NN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'TO', 'VB', 'NN', 'NNS', ',', 'NNS', 'CC', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'CC', 'NN', 'NN', 'NNS', 'VBD', 'DT', 'RB', 'JJ', 'CC', 'JJ', 'NN', 'TO', 'VB', 'JJ', 'NN', '.']"
fischler proposed eu-wide measures after reports from britain and france that under laboratory conditions sheep could contract bovine spongiform encephalopathy ( bse ) -- mad cow disease . ,"['JJR', 'VBN', 'NNP', 'VBZ', 'IN', 'NNS', 'IN', 'NNP', 'CC', 'NNP', 'WDT', 'IN', 'NN', 'NNS', 'NN', 'MD', 'VB', 'NNP', 'NNP', 'NNP', '(', 'NNP', ')', ':', 'JJ', 'NN', 'NN', '.']"
"but fischler agreed to review his proposal after the eu 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health . ","['CC', 'NNP', 'VBD', 'TO', 'VB', 'PRP$', 'NN', 'IN', 'DT', 'NNP', 'POS', 'NN', 'JJ', 'NN', ',', 'JJ', 'NN', 'NN', 'NNS', ',', 'VBD', 'IN', 'JJ', 'NN', 'VBD', 'VBN', 'IN', 'RB', 'VBD', 'RB', 'DT', 'JJ', 'NN', 'TO', 'JJ', 'NN', '.']"
